Nome,Data_de_nascimento,Nacionalidade,Genero,Maior_sucesso,Grupo_ou_Carreira_solo,Quantidade_de_albuns,Tempo_de_carreira,
Jimi Hendrix,27/11/1942,Americano,Rock psicodélico,Purple Haze,The Jimi Hendrix Experience,4,8,
Eric Clapton,30/03/1945,Britânico,Rock e blues,Layla,Carreira solo,25,65,
Jimmy Page,09/01/1944,Britânico,Hard rock,Stairway to Heaven,Led Zeppelin,14,58,
Keith Richards,18/12/1943,Britânico,Rock,(I Can't Get No) Satisfaction,The Rolling Stones,30,55,
Jeff Beck,24/01/1944,Britânico,Rock,Beck's Bolero,The Yardbirds,19,57,
B.B King,16/09/1925,Americano,Blues,The Thrill Is Gone,Carreira solo,40,65,
Chuck Berry,18/10/1926,Americano,Rock and roll,Johnny B. Goode,Carreira solo,20,60,
Eddie Van Halen,26/01/1955,Neerlando-Americano,Hard rock,Jump,Van Halen,12,50,
Duane Allman,20/11/1946,Americano,Southern rock,Whipping Post,The Allman Brothers Band,2,7,
Pete Townshend,19/05/1945,Britânico,Rock,My Generation,The Who,22,60,
George Harrison,25/02/1943,Britânico,Rock,Something,The Beatles,26,43,
Stevie Ray Vaughan,03/8/1954,Americano,Blues,Pride and Joy,Stevie Ray Vaughan and Double Trouble,5,6,
Albert King,25/04/1923,Americano,Blues,Born Under a Bad Sign,Carreira solo,25,40,
David Jon Gilmour,06/03/1946,Britânico,Rock progressivo,Wish You Were Here,Pink Floyd e carreira solo,14,56,
Freddie King,03/09/1934,Americano,Blues,Hide Away,Carreira solo,12,20,
Derek Trucks,08/06/1979,Americano,Blues rock,Joyful Noise,The Derek Trucks Band,15,32,
Neil Young,12/11/1945,Canadense,Folk rock,Heart of Gold,Buffalo Springfield,40,60,
Les Paul,09/06/1915,Americano,Jazz,How High the Moon,Les Paul Trio,20,75,
James Burton,21/08/1939,Americano,Rock and roll,Hello Mary Lou,TCB Band,4,68,
Carlos Santana,20/07/1947,Mexicano-Americano,Latin rock,Black Magic Woman/Gypsy Queen,Santana,25,55,
Chet Atkins,20/06/1924,Americano,Country,Yakety Axe,Carreira solo(The Atkins String Company),80,60,
Frank Zappa,21/12/1940,Americano,Rock experimental,Don't Eat the Yellow Snow,The Mothers of Invention,60,30,
